NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;lat;lon;
23304;304;L_vt7_Hamina_Husula;Tie 7 Hamina_Hususla;60.5922480289;27.1663815895;
23555;555;L_vt7_Tallinmäki;Tie 7 Hamina, Tallinmäki;60.5866770004;27.7185173915;
23305;305;L_vt7_Hamina_Kolsila_itä;Tie 7 Hamina_Kolsila_itä;60.5951499241;27.2561493817;
23525;525;L_vt7_Lelu;Tie 7 Hamina, Lelu;60.5664840299;27.3828084721;
23551;551;L_vt7_LAM030706;Tie 7 Virolahti, Harjula;60.5866770004;27.7185173915;
23550;550;L_vt7_Vaahterikonsuo;Tie 7 Virolahti, Vaahterikonsuo;60.5866770004;27.7185173915;
23540;540;L_vt7_Virojoki;Tie 7 Virolahti, Virojoki;60.586817547;27.7174253167;
23542;542;L_vt7_Turkkisuo;Tie 7 Virolahti, Turkkisuo;60.5937906561;27.771274589;
23541;541;L_vt7_Mestarmäki;Tie 7 Virolahti, Mestarmäki;60.5998797201;27.8134744578;
23581;581;L_vt7_Vaalimaa;Tie 7 Virolahti, Vaalimaa;60.6041386514;27.8673123173;
23598;598;L_vt7_Vaalimaa_rask;Tie 7 Virolahti, Vaalimaa, raskas;60.6060995722;27.8695384035;
23502;502;L_vt12_Iitti;Tie 12 Iitti;60.9137675419;26.177856552;
23590;590;L_vt12_Tillola;Tie 12 Iitti, Tillola;60.8800768352;26.4307518024;
23586;586;L_vt15_Kotkansaari;Tie 15 Kotka, Kotkansaari;60.4642682307;26.9227920162;
23530;530;L_vt15_Juurikorpi;Tie 15 Juurikorpi;60.624436634;26.9236521378;
23591;591;L_vt15_Kiehuva;Tie 15 Kouvola, Kiehuva;60.8176838906;26.7883280064;
23527;527;L_vt15_Valkeala;Tie 15 Valkeala;61.0766535491;27.061939992;
23503;503;L_vt26_Saaramaa;Tie 26 Kouvola, Saaramaa;60.8465137604;27.4035411932;
23584;584;L_st170_Pyhtää;Tie 170 Pyhtää;60.4888996525;26.6822165348;
23501;501;L_st170_Siltakylä;Tie 170 Pyhtää, Siltakylä;60.4959009798;26.758357778;
23587;587;L_vt6_Somerharju;Tie 6 Somerharju;60.9150602146;27.3858382346;
23522;522;L_vt6_Luumäki;Tie 6 Luumäki;60.9340527628;27.6600698383;
23556;556;L_vt6_Selkäharju;Tie 6 Selkäharju;61.0283999499;28.0608872467;
23557;557;L_vt6_Lavola;Tie 6 Lavola;61.036667722;28.12647468;
23558;558;L_vt6_Mattila;Tie 6 Mattila;61.0412935258;28.1612435595;
23559;559;L_vt6_Myllymäki;Tie 6 Myllymäki;61.042809886;28.199368198;
23560;560;L_vt6_Karhuvuori;Tie 6 Karhuvuori;61.0511847088;28.2462469037;
23561;561;L_vt6_Hartikkala;Tie 6 Hartikkala;61.061797258;28.2827554132;
